Company Name,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,Record Type,Longitude,Latitude,Primary NAICS Description,Primary SIC Description
Feather River Hospital,Anthony,Nasr,5974 Pentz Rd,Paradise,CA,95969,Verified,-121.572286,39.75629,General Medical & Surgical Hospitals,Hospitals
Fremont Hospital,John C,Cooper,39001 Sundale Dr,Fremont,CA,94538,Verified,-121.979641,37.546583,General Medical & Surgical Hospitals,Hospitals
Gateways Hosp & Mental Health,Mara,Pelsman,1891 Effie St,Los Angeles,CA,90026,Verified,-118.256541,34.084317,General Medical & Surgical Hospitals,Hospitals
Glendale Adventist Medical Ctr,Kevin A,Roberts,1509 Wilson Ter,Glendale,CA,91206,Verified,-118.230471,34.149229,General Medical & Surgical Hospitals,Hospitals
Glendale Memorial Hosp & Hlth,Julie,Sprengel,1420 S Central Ave,Glendale,CA,91204,Verified,-118.257774,34.127843,General Medical & Surgical Hospitals,Hospitals
Henry Mayo Newhall Meml Hosp,Roger E,Seaver,23845 Mcbean Pkwy,Valencia,CA,91355,Verified,-118.553092,34.396399,General Medical & Surgical Hospitals,Hospitals
Heritage Oaks Hospital,Shawn,Silva,4250 Auburn Blvd,Sacramento,CA,95841,Verified,-121.365018,38.643776,General Medical & Surgical Hospitals,Hospitals
Humboldt County Mental Health,Jet L,DE Kruse,720 Wood St,Eureka,CA,95501,Verified,-124.160799,40.78082,General Medical & Surgical Hospitals,Hospitals
Huntington Beach Hospital,Kevan,Metcalfe,17772 Beach Blvd,Huntington Beach,CA,92647,Verified,-117.986453,33.703788,General Medical & Surgical Hospitals,Hospitals
John George Psych Hospital,,,2060 Fairmont Dr,San Leandro,CA,94578,Verified,-122.119975,37.710294,General Medical & Surgical Hospitals,Hospitals
John Muir Behavioral Health,Michael S,Thomas,2740 Grant St,Concord,CA,94520,Verified,-122.036923,37.985607,General Medical & Surgical Hospitals,Hospitals
Joyce Eisenberg-Keefer Med Ctr,Molly,Forrest,7150 Tampa Ave,Reseda,CA,91335,Verified,-118.552563,34.200092,General Medical & Surgical Hospitals,Hospitals
Kaiser Permanente West Los,Georgina R,Garcia,6041 Cadillac Ave,Los Angeles,CA,90034,Verified,-118.373513,34.038638,General Medical & Surgical Hospitals,Hospitals
LA Palma Intercommunity Hosp,Virgis,Narbutas,7901 Walker St,La Palma,CA,90623,Verified,-118.03727,33.847624,General Medical & Surgical Hospitals,Hospitals
Landmark Medical Ctr,Rosemary,Kilby,2030 N Garey Ave,Pomona,CA,91767,Verified,-117.752652,34.083512,General Medical & Surgical Hospitals,Hospitals
Las Encinas Hospital,Gerard,Conway,2900 E Del Mar Blvd,Pasadena,CA,91107,Verified,-118.091333,34.142152,General Medical & Surgical Hospitals,Hospitals
Los Alamitos Medical Ctr,Kent G,Clayton,3751 Katella Ave,Los Alamitos,CA,90720,Verified,-118.067365,33.803187,General Medical & Surgical Hospitals,Hospitals
Metropolitan State Hospital,Michael,Barsom,11401 Bloomfield Ave,Norwalk,CA,90650,Verified,-118.067399,33.923589,General Medical & Surgical Hospitals,Hospitals
Mills Health Ctr,Janet,Wagner,100 S San Mateo Dr # 4,San Mateo,CA,94401,Verified,-122.325382,37.565589,General Medical & Surgical Hospitals,Hospitals
Natividad Medical Ctr,Gary,Gray,1441 Constitution Blvd,Salinas,CA,93906,Verified,-121.633067,36.696236,General Medical & Surgical Hospitals,Hospitals
Newport Bay Hospital,James E,Parkhurst,1501 E 16th St,Newport Beach,CA,92663,Verified,-117.90758,33.622279,General Medical & Surgical Hospitals,Hospitals
Northridge Hospital Med Ctr,Saliba,Salo,18300 Roscoe Blvd,Northridge,CA,91325,Verified,-118.53419,34.220777,General Medical & Surgical Hospitals,Hospitals
Pacific Grove Hospital,Brent J,Bryson,5900 Brockton Ave,Riverside,CA,92506,Verified,-117.39519,33.962122,General Medical & Surgical Hospitals,Hospitals
Patton State Hospital,Harry,Oreol,3102 E Highland Ave,Patton,CA,92369,Verified,-117.167543,34.121061,General Medical & Surgical Hospitals,Hospitals
Porterville Developemental Ctr,Tereasa,Billici,26501 Avenue 140,Porterville,CA,93257,Verified,-118.979648,36.0417,General Medical & Surgical Hospitals,Hospitals
Rady Children's Hospital,Donald,Kearns,3020 Childrens Way,San Diego,CA,92123,Verified,-117.150809,32.797846,General Medical & Surgical Hospitals,Hospitals
Resnick Neuropsychiatric Hosp,Peter,Whybrow,150 Ucla Medical Plz,Los Angeles,CA,90024,Verified,-118.445844,34.065254,General Medical & Surgical Hospitals,Hospitals
San Diego County Psychiatric,Izabela,Karmach,3853 Rosecrans St,San Diego,CA,92110,Verified,-117.202017,32.753329,General Medical & Surgical Hospitals,Hospitals
San Gorgonio Memorial Hospital,Mark S,Turner,600 N Highland Springs Ave,Banning,CA,92220,Verified,-116.946888,33.932029,General Medical & Surgical Hospitals,Hospitals
Santa Barbara Psychiatric,Takashi,Wada,315 Camino Del Remedio,Santa Barbara,CA,93110,Verified,-119.780672,34.444379,General Medical & Surgical Hospitals,Hospitals
Santa Rosa Memorial Hospital,Todd,Salnas,1165 Montgomery Dr,Santa Rosa,CA,95405,Verified,-122.701107,38.442965,General Medical & Surgical Hospitals,Hospitals
Scripps Green Hospital,Robin,Brown,10666 N Torrey Pines Rd,La Jolla,CA,92037,Verified,-117.241926,32.89739,General Medical & Surgical Hospitals,Hospitals
Scripps Mercy Behavioral Hlth,Jerry,Gold,4077 5th Ave,San Diego,CA,92103,Verified,-117.160699,32.751466,General Medical & Surgical Hospitals,Hospitals
Scripps Mercy Hospital,Thomas A,Gammiere,4077 5th Ave,San Diego,CA,92103,Verified,-117.160992,32.751196,General Medical & Surgical Hospitals,Hospitals
Sharp Mesa Vista Hospital,Kathi,Lencioni,7850 Vista Hill Ave,San Diego,CA,92123,Verified,-117.155878,32.794914,General Medical & Surgical Hospitals,Hospitals
Sierra Vista Hospital,Mike,Zauner,8001 Bruceville Rd,Sacramento,CA,95823,Verified,-121.417123,38.466311,General Medical & Surgical Hospitals,Hospitals
Silver Lake Med Ctr-Ingleside,James,Press,7500 Hellman Ave,Rosemead,CA,91770,Verified,-118.105643,34.069403,General Medical & Surgical Hospitals,Hospitals
Southern CA Hospital-Van Nuys,Nina,Rosenseld,14433 Emelita St,Van Nuys,CA,91401,Verified,-118.447506,34.176788,General Medical & Surgical Hospitals,Hospitals
St Francis Memorial Hospital,Tom,Hennessey,900 Hyde St,San Francisco,CA,94109,Verified,-122.41702,37.789212,General Medical & Surgical Hospitals,Hospitals
St Helena Hosp-Ctr For Bhvrl,Edward A,Mc Donald,525 Oregon St,Vallejo,CA,94590,Verified,-122.249104,38.118145,General Medical & Surgical Hospitals,Hospitals
St Joseph's Behavioral Health,Paul,Rains,2510 N California St,Stockton,CA,95204,Verified,-121.291087,37.97648,General Medical & Surgical Hospitals,Hospitals
Telecare Heritage Psych Health,Anne L,Baker,2633 E 27th St,Oakland,CA,94601,Verified,-122.222154,37.790774,General Medical & Surgical Hospitals,Hospitals
Western Medical Ctr,Harmohinder,Gogia,1025 S Anaheim Blvd,Anaheim,CA,92805,Verified,-117.909813,33.81964,General Medical & Surgical Hospitals,Hospitals
Willow Rock Ctr,Anne L,Bakar,2050 Fairmont Dr,San Leandro,CA,94578,Verified,-122.118465,37.709749,General Medical & Surgical Hospitals,Hospitals
Woodland Healthcare,H Kevin,Vaziri,1325 Cottonwood St,Woodland,CA,95695,Verified,-121.793381,38.664226,General Medical & Surgical Hospitals,Hospitals
Alpha Behavioral Counseling,Ariel,Aguirre,2547 W Shaw Ave # 117,Fresno,CA,93711,Verified,-119.838555,36.807775,Home Health Care Services,Home Health Service
Anka Behavioral Health,Don,Cox,2100 State St,Hemet,CA,92543,Verified,-116.966897,33.712257,Home Health Care Services,Home Health Service
Anka Behavioral Health,,,340 Pablo Ln,Nipomo,CA,93444,Verified,-120.509918,35.015087,Home Health Care Services,Home Health Service
Anka Behavioral Health Inc,,,7515 Willow Way # 1,Citrus Heights,CA,95610,Verified,-121.289424,38.699129,Home Health Care Services,Home Health Service
Baker Places Inc,Jonathan,Vernick,120 Page St # 1,San Francisco,CA,94102,Verified,-122.422554,37.774113,Home Health Care Services,Home Health Service
Bay Area Behavioral Group,Jesse Thi,Lam,4423 Fortran Ct # 136,San Jose,CA,95134,Verified,-121.958268,37.420812,Home Health Care Services,Home Health Service
Behavior Analysts Intl LLC,,,6871 San Rafael Ct,Fontana,CA,92336,Verified,-117.4539,34.12915,Home Health Care Services,Home Health Service
Behavior Support Solutions,Katherine,Woodhouse,914 Parkman St,Altadena,CA,91001,Verified,-118.130445,34.199801,Home Health Care Services,Home Health Service
Behavioral Awareness,,,16501 Walnut St # 12,Hesperia,CA,92345,Verified,-117.302877,34.420336,Home Health Care Services,Home Health Service
Bienvenidos Children's Ctr,Miriam,Gonzalez,316 W 2nd St # 800,Los Angeles,CA,90012,Verified,-118.247481,34.052553,Home Health Care Services,Home Health Service
California's Best Home Health,Mari,Tes,1900 E LA Palma Ave # 204,Anaheim,CA,92805,Verified,-117.890859,33.846846,Home Health Care Services,Home Health Service
Center For Family Unity,Kellye,Laughery,3625 Ruffin Rd # 302,San Diego,CA,92123,Verified,-117.118562,32.809482,Home Health Care Services,Home Health Service
Central Star Behavioral Health,Peter,Zucker,2140 Merced St # 101,Fresno,CA,93721,Verified,-119.791629,36.73801,Home Health Care Services,Home Health Service
Class,,,424 Peninsula Ave,San Mateo,CA,94401,Verified,-122.33707,37.578603,Home Health Care Services,Home Health Service
Community Home Health,Paula,Guzman,1805 Medical Center Dr,San Bernardino,CA,92411,Verified,-117.321838,34.131344,Home Health Care Services,Home Health Service
Divine Care Hm Health Svc Inc,,,1985 Yosemite Ave # 250,Simi Valley,CA,93063,Verified,-118.678862,34.270997,Home Health Care Services,Home Health Service
Dmh Tay Bureau,Mc,Harris,550 S Vermont Ave # 4th,Los Angeles,CA,90020,Verified,-118.291378,34.064081,Home Health Care Services,Home Health Service
Integral Psychological,Angela A,Egbikuadje,5401 Business Park S # 124,Bakersfield,CA,93309,Verified,-119.059251,35.358319,Home Health Care Services,Home Health Service
J L Care,Julie,Dorres,7445 Cozycroft Ave,Winnetka,CA,91306,Verified,-118.582261,34.206036,Home Health Care Services,Home Health Service
Lighthouse Living Svc,Lynette,Jenkins,2750 N Texas St # 110,Fairfield,CA,94533,Verified,-122.033371,38.277362,Home Health Care Services,Home Health Service
Madera County Behavioral Hlth,,,115 N P St,Madera,CA,93637,Verified,-120.071272,36.954841,Home Health Care Services,Home Health Service
Matl-Bcba,Matthew A T,Lehman,361 Lambert Gln,Escondido,CA,92025,Verified,-117.092176,33.120456,Home Health Care Services,Home Health Service
Mental Health Systems,,,5121 Stockdale Hwy # 150,Bakersfield,CA,93309,Verified,-119.058923,35.353272,Home Health Care Services,Home Health Service
Mobile Health Consumer Inc,,,1730 S Amphlett Blvd # 144,San Mateo,CA,94402,Verified,-122.30241,37.557331,Home Health Care Services,Home Health Service
Olive Home Health Ctr,,,2222 W Manchester Blvd # B,Inglewood,CA,90305,Verified,-118.318642,33.959721,Home Health Care Services,Home Health Service
Optima Home Health Svc,,,2025 Chicago Ave # A12,Riverside,CA,92507,Verified,-117.349637,33.992887,Home Health Care Services,Home Health Service
Pacific Clinics,Lisa,Lansing,2550 E Foothill Blvd # 2nd,Pasadena,CA,91107,Verified,-118.09749,34.149789,Home Health Care Services,Home Health Service
Professional Care Home Health,Eddy,Vincecruz,1720 E Los Angeles Ave # 215,Simi Valley,CA,93065,Verified,-118.765492,34.270888,Home Health Care Services,Home Health Service
San Bernardino Home Health,Julie,Mill,1805 Medical Center Dr,San Bernardino,CA,92411,Verified,-117.321838,34.131344,Home Health Care Services,Home Health Service
Solutions Focused Behavioral,,,3210 Larchmont Dr,Stockton,CA,95209,Verified,-121.35696,38.04069,Home Health Care Services,Home Health Service
Starbright Home Health Svc Inc,Kayton,Dui,1633 Erringer Rd # 201a,Simi Valley,CA,93065,Verified,-118.762005,34.268153,Home Health Care Services,Home Health Service
Sunrise Homes,Lourdes,Gatchalian,306 N Vista St,Anaheim,CA,92801,Verified,-117.956361,33.841256,Home Health Care Services,Home Health Service
Turning Point Community Prgms,,,1001 Needham St,Modesto,CA,95354,Verified,-121.005374,37.645928,Home Health Care Services,Home Health Service
Vista Home Health Svc Inc,Edwin,Fernandez,9003 Reseda Blvd # 209,Northridge,CA,91324,Verified,-118.53668,34.233883,Home Health Care Services,Home Health Service
ADHD Therapy Ctr,,,1030 Sir Francis Drake Blvd,Kentfield,CA,94904,Verified,-122.549169,37.957536,Offices Of All Other Misc Health Practitioners,Psychologists
Advance Psychological Care,Mark,Sergi,11260 Wilbur Ave # 303,Northridge,CA,91326,Verified,-118.546394,34.274708,Offices Of All Other Misc Health Practitioners,Psychologists
Affiliated Psychological Svc,Daniel D,Shirbroun,7293 Dumosa Ave # 8,Yucca Valley,CA,92284,Verified,-116.417361,34.120866,Offices Of All Other Misc Health Practitioners,Psychologists
Ain Roost,Ain,Roost,4180 LA Jolla Village Dr # 250,La Jolla,CA,92037,Verified,-117.216807,32.872563,Offices Of All Other Misc Health Practitioners,Psychologists
Alpert & Assoc,,,14150 Culver Dr # 206,Irvine,CA,92604,Verified,-117.783985,33.708254,Offices Of All Other Misc Health Practitioners,Psychologists
Alpine Counseling Ctr,,,375 E Line St,Bishop,CA,93514,Verified,-118.3896,37.361584,Offices Of All Other Misc Health Practitioners,Psychologists
Andrew Leeds,Andrew M,Leeds,1049 4th St # G,Santa Rosa,CA,95404,Verified,-122.70606,38.44449,Offices Of All Other Misc Health Practitioners,Psychologists
Anxiety Research Ctr,,,26800 Crown Valley Pkwy # 455,Mission Viejo,CA,92691,Verified,-117.667141,33.562418,Offices Of All Other Misc Health Practitioners,Psychologists
Applied Interventions,Sandy,Shaw,6540 Lusk Blvd # C256,San Diego,CA,92121,Verified,-117.201848,32.901189,Offices Of All Other Misc Health Practitioners,Psychologists
Arcata Counseling Svc,Jennifer F,Taylor,1062 G St,Arcata,CA,95521,Verified,-124.084837,40.869984,Offices Of All Other Misc Health Practitioners,Psychologists
Arcata Counseling Svc,,,1062 G St,Arcata,CA,95521,Verified,-124.084837,40.869984,Offices Of All Other Misc Health Practitioners,Psychologists
Associates In Clinical Therapy,James L,Schaefer,22231 Mulholland Hwy # 106,Calabasas,CA,91302,Verified,-118.613067,34.14834,Offices Of All Other Misc Health Practitioners,Psychologists
Axis Community Health,Sue,Compton,4361 Railroad Ave # A,Pleasanton,CA,94566,Verified,-121.874199,37.661622,Offices Of All Other Misc Health Practitioners,Psychologists
Baringoldz,Greg M,Baringoldz,3605 Long Beach Blvd # 329,Long Beach,CA,90807,Verified,-118.189732,33.822693,Offices Of All Other Misc Health Practitioners,Psychologists
Becker Psycological Svc,Vance B,Becker,1451 Quail St # 102,Newport Beach,CA,92660,Verified,-117.869347,33.660665,Offices Of All Other Misc Health Practitioners,Psychologists
Behavioral Medicine Group,Linda,Pascuzzo,3805 Union Ave,Bakersfield,CA,93305,Verified,-119.003021,35.39432,Offices Of All Other Misc Health Practitioners,Psychologists
"Buckley, Lisa Phd",Lisa,Buckley,1991 Village Park Way # 202,Encinitas,CA,92024,Verified,-117.245283,33.053173,Offices Of All Other Misc Health Practitioners,Psychologists
"Budner, Teri W",Teri W,Budner,2101 N Main St # D,Santa Ana,CA,92706,Verified,-117.867123,33.763981,Offices Of All Other Misc Health Practitioners,Psychologists
California Counseling Ctr,,,10630 Town Center Dr # 124,Rancho Cucamonga,CA,91730,Verified,-117.572221,34.111262,Offices Of All Other Misc Health Practitioners,Psychologists
California Spectrum Svc,Nick,Garcia,841 Mohawk St # 120,Bakersfield,CA,93309,Verified,-119.062526,35.361731,Offices Of All Other Misc Health Practitioners,Psychologists
Care More Health Plan,,,7324 Painter Ave,Whittier,CA,90602,Verified,-118.036142,33.97119,Offices Of All Other Misc Health Practitioners,Psychologists
Caring Counseling,Harvey J,Feinman,2125 S El Camino Real # 206,Oceanside,CA,92054,Verified,-117.328614,33.188988,Offices Of All Other Misc Health Practitioners,Psychologists
CDF Psychological Corp,Jorge,Canseco,12448 Washington Blvd,Whittier,CA,90602,Verified,-118.046758,33.967488,Offices Of All Other Misc Health Practitioners,Psychologists
Center For Conscious Living,,,,Huntington Beach,CA,92647,Verified,-118.003865,33.721675,Offices Of All Other Misc Health Practitioners,Psychologists
Central Psychology Svc,Jeanne,Abbott,3300 Tully Rd # C1,Modesto,CA,95350,Verified,-121.011647,37.686078,Offices Of All Other Misc Health Practitioners,Psychologists
"Cerri, Mark Phd",Mark,Cerri,,Ukiah,CA,95482,Verified,-123.316337,39.234306,Offices Of All Other Misc Health Practitioners,Psychologists
Change With Reach,Anna,Gershellis,17777 Ventura Blvd # 105,Encino,CA,91316,Verified,-118.519783,34.163195,Offices Of All Other Misc Health Practitioners,Psychologists
Children's Psychological Svc,,,3646 24th St,San Francisco,CA,94110,Verified,-122.423929,37.751959,Offices Of All Other Misc Health Practitioners,Psychologists
Clinical & Forensic Psychology,Randolph A,Nutter,950 County Square Dr # 115,Ventura,CA,93003,Verified,-119.214165,34.266619,Offices Of All Other Misc Health Practitioners,Psychologists
Comprehensive Psychological,David,Freeman,1010 N Central Ave # 302,Glendale,CA,91202,Verified,-118.256831,34.160011,Offices Of All Other Misc Health Practitioners,Psychologists
Cortex Behavioral Health,Ellen,Shirman,17525 Ventura Blvd # 307,Encino,CA,91316,Verified,-118.515273,34.162371,Offices Of All Other Misc Health Practitioners,Psychologists
Craig Kain Phd Psychologist,Craig,Kain,3416 E Broadway # A,Long Beach,CA,90803,Verified,-118.151971,33.764395,Offices Of All Other Misc Health Practitioners,Psychologists
"Cross, Karen Phd",Karen,Cross,3252 Holiday Ct,La Jolla,CA,92037,Verified,-117.232605,32.870896,Offices Of All Other Misc Health Practitioners,Psychologists
"De Francisco, Jennifer",Jennifer,DE Francisco,1601 Dove St # 230,Newport Beach,CA,92660,Verified,-117.866566,33.664152,Offices Of All Other Misc Health Practitioners,Psychologists
"Decker, Debra Phd",Debra,Decker,1687 Erringer Rd # 108,Simi Valley,CA,93065,Verified,-118.762345,34.26879,Offices Of All Other Misc Health Practitioners,Psychologists
"Diaz, Norma P",Norma P,Diaz,10428 Lower Azusa Rd,El Monte,CA,91731,Verified,-118.040412,34.091896,Offices Of All Other Misc Health Practitioners,Psychologists
Dr Daniel C Minton MD,Daniel C,Minton,2730 Wilshire Blvd # 275,Santa Monica,CA,90403,Verified,-118.475435,34.036837,Offices Of All Other Misc Health Practitioners,Psychologists
Dr Nagar Med Psychology Ctr,Ziva,Nagar,14901 Rinaldi St # 335,Mission Hills,CA,91345,Verified,-118.457344,34.279514,Offices Of All Other Misc Health Practitioners,Psychologists
Dr Stephanie Hunter Jones,Stephanie,Hunter Jones,5782 Hesperia Ave,Encino,CA,91316,Verified,-118.525981,34.176153,Offices Of All Other Misc Health Practitioners,Psychologists
Educational Psychology,,,1810 Grand Canal Blvd # 1,Stockton,CA,95207,Verified,-121.328101,37.98617,Offices Of All Other Misc Health Practitioners,Psychologists
Eva P Hunting Phd,Eva P,Hunting,2055 Anderson Rd # A,Davis,CA,95616,Verified,-121.759123,38.561909,Offices Of All Other Misc Health Practitioners,Psychologists
Focus Psychological Svc,,,444 Camino Del Rio S # 214,San Diego,CA,92108,Verified,-117.160678,32.761755,Offices Of All Other Misc Health Practitioners,Psychologists
Fox David Phd Inc,,,8370 Wilshire Blvd,Beverly Hills,CA,90211,Verified,-118.373846,34.064552,Offices Of All Other Misc Health Practitioners,Psychologists
Garett & Assoc,Kenneth,Garett,225 S Civic Dr # 2-11,Palm Springs,CA,92262,Verified,-116.513123,33.821867,Offices Of All Other Misc Health Practitioners,Psychologists
Geisz Thomas Eric,Richard N,Weisberg,30131 Town Center Dr # 280,Laguna Niguel,CA,92677,Verified,-117.715228,33.525617,Offices Of All Other Misc Health Practitioners,Psychologists
"Girvetz, Jon Phd",Jon,Girvetz,550 Water St # F3,Santa Cruz,CA,95060,Verified,-122.018919,36.978857,Offices Of All Other Misc Health Practitioners,Psychologists
"Griffin, Cynthia Phd",Cynthia,Griffin,188 Cerro Ct,San Luis Obispo,CA,93405,Verified,-120.68576,35.295116,Offices Of All Other Misc Health Practitioners,Psychologists
Group Therapy Ctr,Milton,Shapiro,7610 Woodrow Wilson Dr,Los Angeles,CA,90046,Verified,-118.361739,34.122268,Offices Of All Other Misc Health Practitioners,Psychologists
"Grover, Edward Phd",Edward,Grover,129 E Branch St # A,Arroyo Grande,CA,93420,Verified,-120.578196,35.123735,Offices Of All Other Misc Health Practitioners,Psychologists
"Hardesty, Jean A Phd",Jean A,Hardesty,6345 Balboa Blvd # 212,Encino,CA,91316,Verified,-118.503211,34.186207,Offices Of All Other Misc Health Practitioners,Psychologists
Hellwig's Psychological Svc,David,Hellwig,1357 W Shaw Ave,Fresno,CA,93711,Verified,-119.816327,36.808089,Offices Of All Other Misc Health Practitioners,Psychologists
"Hernandez, Joseph L Phd",Joseph L,Hernandez,4643 Broadway,Salida,CA,95368,Verified,-121.085121,37.706331,Offices Of All Other Misc Health Practitioners,Psychologists
Hope Psychiatric Med Svc Inc,Bushra,Akber,250 W 1st St # 214,Claremont,CA,91711,Verified,-117.718052,34.094255,Offices Of All Other Misc Health Practitioners,Psychologists
Innovative Business Dynamics,Wiley B,Johnson,19700 Fairchild # 285,Irvine,CA,92612,Verified,-117.859626,33.656451,Offices Of All Other Misc Health Practitioners,Psychologists
Institute For Relationship Dev,David M,Aronson,30101 Town Center Dr # 109,Laguna Niguel,CA,92677,Verified,-117.714334,33.526242,Offices Of All Other Misc Health Practitioners,Psychologists
Integrated Psychological Svc,,,30101 Town Center Dr # 201,Laguna Niguel,CA,92677,Verified,-117.714334,33.526242,Offices Of All Other Misc Health Practitioners,Psychologists
Irvine Family Therapy,Hegi,Khajavi,14351 Red Hill Ave # C,Tustin,CA,92780,Verified,-117.819642,33.729656,Offices Of All Other Misc Health Practitioners,Psychologists
Irwin Hoffman Ph D,Irwin,Hoffman,1240 S Westlake Blvd # 211,Westlake Village,CA,91361,Verified,-118.837673,34.14925,Offices Of All Other Misc Health Practitioners,Psychologists
Jackson Jacqueline Phd,Jacqueline,Jackson,800 Menlo Ave # 209,Menlo Park,CA,94025,Verified,-122.184445,37.450066,Offices Of All Other Misc Health Practitioners,Psychologists
"Josephson, Susan Cook Phd",Susan Cook,Josephson,555 Pointe Dr # 205,Brea,CA,92821,Verified,-117.879215,33.928116,Offices Of All Other Misc Health Practitioners,Psychologists
Joyce B Ashley M D,B Joyce,Ashley,219 Nogales Ave # D,Santa Barbara,CA,93105,Verified,-119.721668,34.43208,Offices Of All Other Misc Health Practitioners,Psychologists
Kairos Psychology Group,,,160 Franklin St,Oakland,CA,94607,Verified,-122.27505,37.795241,Offices Of All Other Misc Health Practitioners,Psychologists
KARR Elaine S Phd,Elaine,Karr,11850 Wilshire Blvd # 200a,Los Angeles,CA,90025,Verified,-118.463416,34.047033,Offices Of All Other Misc Health Practitioners,Psychologists
"Kasper, Laura B Phd",Laura B,Kasper,582 Market St # 716,San Francisco,CA,94104,Verified,-122.401543,37.789392,Offices Of All Other Misc Health Practitioners,Psychologists
Kearny Mesa Psychological Svc,Bapsi A,Slali,3645 Ruffin Rd # 205,San Diego,CA,92123,Verified,-117.119019,32.810135,Offices Of All Other Misc Health Practitioners,Psychologists
"Kopley, Margot B Phd",Margot B,Kopley,741 Garden View Ct,Encinitas,CA,92024,Verified,-117.260581,33.059676,Offices Of All Other Misc Health Practitioners,Psychologists
"Kramer, Shelley C Phd",Shelley C,Kramer,2181 S El Camino Real # 205,Oceanside,CA,92054,Verified,-117.328736,33.187716,Offices Of All Other Misc Health Practitioners,Psychologists
"Kramer, Shelley C Phd",Shelley C,Kramer,591 Camino DE LA Reina,San Diego,CA,92108,Verified,-117.161406,32.765729,Offices Of All Other Misc Health Practitioners,Psychologists
Law-Greenburg Claudia,Claudia,Law-Greenburg,8899 University Center Ln # 17,San Diego,CA,92122,Verified,-117.22759,32.869945,Offices Of All Other Misc Health Practitioners,Psychologists
Leifer Errol F Phd Inc,Errol F,Leifer,3443 W Shaw Ave,Fresno,CA,93711,Verified,-119.854393,36.805341,Offices Of All Other Misc Health Practitioners,Psychologists
"Lerner-Baron, Sharon Phd",Sharon,Lerner-Baron,,San Diego,CA,92121,Verified,-117.198521,32.894378,Offices Of All Other Misc Health Practitioners,Psychologists
"Lille, Jeffrey J Phd",Jeffrey J,Lille,11573 Los Osos Valley Rd # D,San Luis Obispo,CA,93405,Verified,-120.691658,35.256889,Offices Of All Other Misc Health Practitioners,Psychologists
Linda L Adams Psyd,Linda L,Adams,250 W 1st St,Claremont,CA,91711,Verified,-117.718052,34.094255,Offices Of All Other Misc Health Practitioners,Psychologists
Linder Psychiatric Group Inc,,,508 Gibson Dr,Roseville,CA,95678,Verified,-121.273638,38.779174,Offices Of All Other Misc Health Practitioners,Psychologists
Lisa Neuenschwander Ph D,Lisa,Neuenschwander,900 Los Osos Valley Rd # C,Los Osos,CA,93402,Verified,-120.83474,35.311672,Offices Of All Other Misc Health Practitioners,Psychologists
"Malde, Susan Phd",Susan,Malde,1187 Coast Village Rd # 10k,Santa Barbara,CA,93108,Verified,-119.64498,34.420675,Offices Of All Other Misc Health Practitioners,Psychologists
Manning Psychological Svc,Bradley,Manning,146 Main St # 213,Los Altos,CA,94022,Verified,-122.115218,37.379637,Offices Of All Other Misc Health Practitioners,Psychologists
Mariya Kholodova Ph D,Mariya,Kholodova,3636 4th Ave # 302,San Diego,CA,92103,Verified,-117.161896,32.743965,Offices Of All Other Misc Health Practitioners,Psychologists
Meg Stein Psy D,Meg,Stein,55 New Montgomery St # 305,San Francisco,CA,94105,Verified,-122.401131,37.788109,Offices Of All Other Misc Health Practitioners,Psychologists
Megan Lehmer Ph D,Megan,Lehmer,1131 Irving St,San Francisco,CA,94122,Verified,-122.470176,37.763824,Offices Of All Other Misc Health Practitioners,Psychologists
Michael Perrotti Inc,,,18200 Yorba Linda Blvd # 109a,Placentia,CA,92870,Verified,-117.857673,33.879483,Offices Of All Other Misc Health Practitioners,Psychologists
Mindful Behavioral Strategies,Barbara A,Morris Jensen,1601 Carmen Dr # 211,Camarillo,CA,93010,Verified,-119.051864,34.232712,Offices Of All Other Misc Health Practitioners,Psychologists
Miracle Mile Cmnty Practice,David,Marsten,7461 Beverly Blvd # 405,Los Angeles,CA,90036,Verified,-118.352654,34.076195,Offices Of All Other Misc Health Practitioners,Psychologists
"Morton, Susan B Phd",Susan B,Morton,6097 Claremont Ave,Oakland,CA,94618,Verified,-122.252606,37.849207,Offices Of All Other Misc Health Practitioners,Psychologists
MRI Clinic,Mary Ann,Norfleet,555 Middlefield Rd,Palo Alto,CA,94301,Verified,-122.155913,37.450197,Offices Of All Other Misc Health Practitioners,Psychologists
"Muse, Jeri Phd",Jeri,Muse,3033 5th Ave # 220,San Diego,CA,92103,Verified,-117.160042,32.737007,Offices Of All Other Misc Health Practitioners,Psychologists
"Netter, Beatriz Phd",Beatriz,Netter,3252 Holiday Ct # 100,La Jolla,CA,92037,Verified,-117.232605,32.870896,Offices Of All Other Misc Health Practitioners,Psychologists
"Netter, Roberto Phd",Roberto,Netter,3252 Holiday Ct # 100,La Jolla,CA,92037,Verified,-117.232605,32.870896,Offices Of All Other Misc Health Practitioners,Psychologists
Neurobehavioral Clinic,David,Lechuga,13 Orchard # 103,Lake Forest,CA,92630,Verified,-117.672888,33.670745,Offices Of All Other Misc Health Practitioners,Psychologists
"Newton, Ruth Phd",Ruth,Newton,3252 Holiday Ct # 109,La Jolla,CA,92037,Verified,-117.232605,32.870896,Offices Of All Other Misc Health Practitioners,Psychologists
